Datum|Erster|Hoch|Tief|Schlusskurs|Stuecke|Volumen
2017-03-10|16,0622|16,4449|16,0266|16,2491|19.631.668|320.029.248
2017-03-09|15,5817|15,991|15,5773|15,911|14.785.872|234.287.456
2017-03-08|15,4126|15,9288|15,3548|15,6929|17.027.700|267.482.496
2017-03-07|15,5417|15,6128|15,1857|15,4082|18.220.861|280.433.184
2017-03-06|15,9288|16,2402|15,5506|15,6885|41.625.229|662.163.328
2017-03-03|17,0366|17,6151|16,6407|17,0322|22.522.737|385.101.504
2017-03-02|17,4415|17,5973|17,2324|17,2547|11.357.377|197.667.936
2017-03-01|16,8186|17,4193|16,6851|17,397|22.926.272|395.000.864
2017-02-28|16,4582|16,6851|16,4048|16,5517|10.017.002|165.663.120
2017-02-27|16,1067|16,4182|16,1067|16,3826|7.618.951|124.249.656
2017-02-24|16,4627|16,5873|15,9599|16,1423|11.548.009|186.927.568
2017-02-23|16,5695|16,7964|16,4137|16,4983|8.873.130|147.455.568
2017-02-22|16,5428|16,7608|16,347|16,5695|8.179.463|135.097.952
2017-02-21|16,4449|16,6273|16,1601|16,5383|8.836.582|145.522.624
2017-02-20|16,4182|16,4805|16,2758|16,4582|6.278.389|102.890.880
2017-02-17|16,5027|16,565|15,9199|16,1957|16.421.596|264.623.312
2017-02-16|16,8186|16,8186|16,4404|16,476|8.016.784|133.120.904
2017-02-15|16,4449|17,0811|16,4271|16,8053|16.122.948|271.061.056
2017-02-14|16,1067|16,3915|16,0489|16,3915|9.679.580|157.084.096
2017-02-13|15,8932|16,1824|15,8042|16,1334|8.324.454|133.497.160
2017-02-10|16,2135|16,2313|15,7374|15,8398|9.405.565|149.486.336
2017-02-09|16,0667|16,1512|15,7908|16,0177|10.728.116|170.981.296
2017-02-08|16,3737|16,476|15,6796|15,9599|16.304.253|260.916.256
2017-02-07|16,3826|16,5561|16,2224|16,2936|10.988.149|179.706.608
2017-02-06|16,7296|16,8097|16,4449|16,4449|13.851.216|229.380.656
2017-02-03|16,2491|16,7652|16,1468|16,7652|16.550.219|273.703.616
2017-02-02|16,5962|16,6851|15,8576|16,1779|28.716.298|464.526.528
2017-02-01|16,5606|17,0678|16,4449|17,0678|15.009.776|253.119.712
2017-01-31|16,872|17,0322|16,3559|16,3648|14.074.499|234.416.400
2017-01-30|16,9076|16,9521|16,5161|16,5606|9.631.893|160.720.528
2017-01-27|17,3526|17,3526|16,9877|17,0678|10.368.064|177.488.336
2017-01-26|17,4415|17,7708|17,1523|17,2992|15.457.697|269.739.776
2017-01-25|16,4671|17,3481|16,4671|17,2636|22.220.253|377.662.400
2017-01-24|15,9199|16,3247|15,9199|16,3247|11.061.193|178.766.544
2017-01-23|15,8843|16,1646|15,7285|15,8932|12.053.660|192.252.800
2017-01-20|15,6885|16,0889|15,6306|16,0711|16.076.791|256.873.456
2017-01-19|15,6885|15,951|15,6039|15,7552|12.840.301|202.561.808
2017-01-18|15,7152|15,7241|15,3414|15,6262|13.165.660|204.260.064
2017-01-17|15,6618|15,9199|15,4037|15,5506|12.525.031|196.205.584
2017-01-16|15,9288|15,9866|15,6573|15,6573|8.769.061|138.190.016
2017-01-13|15,7063|16,258|15,6974|16,1468|13.809.790|221.102.672
2017-01-12|16,0444|16,0622|15,4972|15,5239|9.811.293|154.550.176
2017-01-11|15,7419|16,1379|15,7241|16,08|10.406.360|166.177.200
2017-01-10|15,9288|15,9732|15,6084|15,7152|12.925.089|203.243.936
2017-01-09|16,1868|16,3158|15,8843|16,1067|9.452.328|152.149.408
2017-01-06|16,129|16,3025|15,991|16,3025|11.217.007|181.337.808
2017-01-05|16,3737|16,694|15,9688|16,1201|16.030.723|262.236.416
2017-01-04|15,8843|16,2714|15,8798|16,2491|14.471.823|233.639.840
2017-01-03|15,6395|15,9154|15,2213|15,7641|15.554.926|243.390.272
2017-01-02|15,3058|15,7819|15,2569|15,6128|5.674.653|88.575.968






